participant	antecedent_verb	antecedent_polarity	target	control	antecedent_frame	consequent_verb	consequent_embedded_tense	antecedent_text	consequent_text	response_likelihood	response_difficulty	sanity
7	plan	positive	object	object	NP V for NP to VP	want	future	A planned for B to do C.	How likely is it that B wanted to do C?	0.85	0.21	4
7	request	negative	subject	object	NP V NP to VP[+eventive]	intend	future	A didn't request B to do C.	How likely is it that A intended for B to do C?	0.0	0.0	4
7	disgrace	positive	subject	subject	NP be V to VP[-eventive]	want	past	A was disgraced to have C.	How likely is it that A wanted to have had C?	0.0	0.0	4
7	fantasize	positive	subject	object	NP V for NP to VP	want	future	A fantasized for B to do C.	How likely is it that A wanted B to do C?	0.82	0.33	4
7	enlist	positive	subject	object	NP V NP to VP[+eventive]	believe	future	A enlisted B to do C.	How likely is it that A believed that B would do C?	0.88	0.1	4
7	terrorize	positive	subject	object	NP V NP to VP[+eventive]	believe	future	A terrorized B to do C.	How likely is it that A believed that B would do C?	0.58	0.4	4
7	preach	positive	subject	object	NP V for NP to VP	intend	future	A preached for B to do C.	How likely is it that A intended for B to do C?	0.6	0.55	4
7	brief	positive	subject	object	NP V NP to VP[+eventive]	believe	future	A briefed B to do C.	How likely is it that A believed that B would do C?	0.54	0.67	4
7	detest	positive	object	object	NP V for NP to VP	believe	future	A detested for B to do C.	How likely is it that B believed that B would do C?	0.07	0.13	4
7	calibrate	positive	subject	object	NP V for NP to VP	intend	future	A calibrated for B to do C.	How likely is it that A intended for B to do C?	0.61	0.46	4
7	strain	negative	subject	subject	NP V to VP[+eventive]	believe	future	A didn't strain to do C.	How likely is it that A believed that A would do C?	0.0	0.0	4
7	delight	positive	subject	object	NP V for NP to VP	want	future	A delighted for B to do C.	How likely is it that A wanted B to do C?	0.52	0.7	4
7	justify	negative	subject	subject	NP V to VP[-eventive]	believe	future	A didn't justify to have C.	How likely is it that A believed that A would have C?	0.12	0.64	4
