model,partition,subtask,fold,nll,accuracy,abs_error,prop_best,best,worst,aarons_metric,prop_best_spearman
f,a,b,0,-0.8156,,0.3326,0.3289,0.19899999999999998,0.2296,-3.366,0.4718
f,a,b,1,-0.6791,,0.3899,0.2486,0.2226,0.2591,-3.5836,0.3736
f,a,b,2,-0.8223,,0.332,0.3955,0.2069,0.2383,-2.9841,-0.011
f,a,b,3,-0.713,,0.364,0.2919,0.2131,0.2486,-3.2507,0.4211
f,a,b,4,-0.4676,,0.41700000000000004,0.1242,0.2223,0.2687,-3.1961,0.1156
f,p,b,0,-0.6937,,0.3643,0.2773,0.2115,0.2469,-3.3164,0.3081
f,p,b,1,-0.6728,,0.3776,0.2211,0.2123,0.2558,-2.8,0.0254
f,p,b,2,-0.7146,,0.3696,0.2852,0.2155,0.2512,-3.3165,0.4101
f,p,b,3,-0.721,,0.3637,0.3115,0.2154,0.2473,-3.6489,0.3610
f,p,b,4,-0.7055,,0.3569,0.3044,0.2105,0.2418,-3.6773,0.0574
f,s,b,0,-0.7031,,0.3613,0.2881,0.2111,0.245,-3.4307,0.3176
f,s,b,1,-0.7058,,0.3736,0.2658,0.2154,0.2527,-3.2413,0.1251
f,s,b,2,-0.7246,,0.3672,0.2719,0.2125,0.2505,-3.0711,0.0519
f,s,b,3,-0.7057,,0.3656,0.2892,0.2137,0.2485,-3.3649,-0.0339
f,s,b,4,-0.6641,,0.3639,0.2635,0.2096,0.2455,-3.2981,-0.0195
f,r,b,0,-0.7156,,0.3651,0.2689,0.2109,0.2483,-3.123,0.4014
f,r,b,1,-0.7154,,0.3674,0.2532,0.2103,0.2495,-3.0077,0.3317
f,r,b,2,-0.7142,,0.3685,0.2298,0.2082,0.2498,-2.8534,0.1048
f,r,b,3,-0.7034,,0.3666,0.2676,0.2116,0.2487,-3.1779,0.3977
f,r,b,4,-0.7322,,0.3634,0.2672,0.2097,0.247,-3.1206,0.3763
i,a,a,0,0.0105,,0.3346,0.3194,0.1991,0.2296,-3.4426,0.4481
